Proxy port,Type,Status,Zone,Targeting,Success,BW,Requests
24194,persist,ok,il_mobile_1,il,1,1275,1
24195,persist,ok,il_mobile_1,il,1,1240,1
24196,persist,ok,il_mobile_1,il,989,11235923,989
24197,persist,ok,il_mobile_1,il,168,1614028,168
24198,persist,ok,il_mobile_1,il,259,3215361,259
24199,persist,ok,il_mobile_1,il,1,1270,1
24200,persist,ok,il_mobile_1,il,115,1193578,115
24201,persist,ok,il_mobile_1,il,1,1893,2
24202,persist,ok,il_mobile_1,il,1,1265,1
24203,persist,ok,il_mobile_1,il,1,1260,1
24204,persist,ok,il_mobile_1,il,267,3829806,269
24205,persist,ok,il_mobile_1,il,130,1461244,130
24206,persist,ok,il_mobile_1,il,1,1247,1
24207,persist,ok,il_mobile_1,il,142,1103562,144
24208,persist,ok,il_mobile_1,il,165,1560534,165
24209,persist,ok,il_mobile_1,il,1,1896,2
24210,persist,ok,il_mobile_1,il,107,795777,107
24211,persist,ok,il_mobile_1,il,1,1251,1
24212,persist,ok,il_mobile_1,il,205,1652865,207
24213,persist,ok,il_mobile_1,il,123,1817210,123
24214,persist,ok,il_mobile_1,il,1296,28818738,1300
24215,persist,ok,il_mobile_1,il,1,1261,1
24216,persist,ok,il_mobile_1,il,119,1368726,119
24217,persist,ok,il_mobile_1,il,1,1263,1
24218,persist,ok,il_mobile_1,il,75,708296,75
24219,persist,ok,il_mobile_1,il,75,757640,75
24220,persist,ok,il_mobile_1,il,1,1272,1
24221,persist,ok,il_mobile_1,il,142,2021985,143
24222,persist,ok,il_mobile_1,il,157,1621666,157
24223,persist,ok,il_mobile_1,il,143,2234088,143
24224,persist,ok,il_mobile_1,il,3,16430,3
24225,persist,ok,il_mobile_1,il,79,1184297,79
24226,persist,ok,il_mobile_1,il,61,1024634,61
24227,persist,ok,il_mobile_1,il,168,1485432,170
24228,persist,ok,il_mobile_1,il,98,1534528,111
24229,persist,ok,il_mobile_1,il,255,4870246,255
24230,persist,ok,il_mobile_1,il,76,2062233,76
24231,persist,ok,il_mobile_1,il,150,1395290,156
24232,persist,ok,il_mobile_1,il,147,1539823,149
24233,persist,ok,il_mobile_1,il,102,1964050,102
24234,persist,ok,il_mobile_1,il,1,1249,1
24235,persist,ok,il_mobile_1,il,164,1442916,164
24236,persist,ok,il_mobile_1,il,84,699699,84
24237,persist,ok,il_mobile_1,il,159,1378935,162
24238,persist,ok,il_mobile_1,il,250,3950558,250
24239,persist,ok,il_mobile_1,il,112,1567728,125
24240,persist,ok,il_mobile_1,il,1,1265,1
