מצב עסקה,תאריך יצירה,סכום לחיוב,האם ליצור חשבונית,שם מוצר,ערך משתמש להחזרה
הצלחה,28/11/2019 22:43,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1074
הצלחה,29/11/2019 12:11,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1076
הצלחה,29/11/2019 14:05,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1078
הצלחה,01/12/2019 17:22,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1104
הצלחה,01/12/2019 17:25,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1105
הצלחה,01/12/2019 17:28,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1106
הצלחה,01/12/2019 20:00,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1109
הצלחה,05/12/2019 22:32,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1162
הצלחה,07/12/2019 18:25,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1183
הצלחה,08/12/2019 20:34,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1194
הצלחה,08/12/2019 21:53,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1196
הצלחה,09/12/2019 11:57,7,מסומן,100 YouTube channel subscribers  for 7$,263
הצלחה,20/11/2019 12:24,8,מסומן,400 Instagram Post likes for 8$,219
הצלחה,25/11/2019 03:49,8,מסומן,500 Instagram Followers for 8$,227
הצלחה,26/11/2019 04:17,8,מסומן,500 Instagram Followers for 8$,228
הצלחה,08/12/2019 21:46,8,מסומן,500 Instagram Followers for 8$,253
הצלחה,10/11/2019 21:11,10,מסומן,20 תגובות לאינסטגרם ב-10₪,826
הצלחה,14/11/2019 11:28,10,מסומן,20 תגובות לאינסטגרם ב-10₪,870
הצלחה,18/11/2019 15:32,10,מסומן,20 תגובות לאינסטגרם ב-10₪,938
הצלחה,26/11/2019 13:23,10,מסומן,20 תגובות לאינסטגרם ב-10₪,1043
הצלחה,07/12/2019 09:21,10,מסומן,10 תגובות בעברית ממשתמשים ישראלים ב-10₪,1178
הצלחה,01/11/2019 18:46,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,725
הצלחה,01/11/2019 20:27,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,727
הצלחה,02/11/2019 15:25,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,733
הצלחה,04/11/2019 14:02,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,761
הצלחה,05/11/2019 15:13,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,770
הצלחה,07/11/2019 15:25,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,794
הצלחה,08/11/2019 19:03,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,808
הצלחה,09/11/2019 15:51,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,812
הצלחה,11/11/2019 14:07,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,833
הצלחה,11/11/2019 16:36,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,842
הצלחה,13/11/2019 18:04,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,862
הצלחה,13/11/2019 20:02,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,864
הצלחה,14/11/2019 13:07,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,873
הצלחה,14/11/2019 13:10,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,874
הצלחה,15/11/2019 14:01,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,894
הצלחה,16/11/2019 19:04,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,913
הצלחה,16/11/2019 23:12,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,918
הצלחה,18/11/2019 08:56,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,935
הצלחה,18/11/2019 16:56,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,939
הצלחה,20/11/2019 15:01,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,964
הצלחה,20/11/2019 21:44,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,973
הצלחה,21/11/2019 19:10,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,981
הצלחה,22/11/2019 17:54,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,994
הצלחה,23/11/2019 18:15,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,1006
הצלחה,25/11/2019 12:47,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,1024
הצלחה,25/11/2019 20:36,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,1035
הצלחה,26/11/2019 11:56,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,1041
הצלחה,27/11/2019 16:15,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,1055
הצלחה,28/11/2019 22:26,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,1073
הצלחה,29/11/2019 04:52,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,1075
הצלחה,30/11/2019 16:33,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,1090
הצלחה,02/12/2019 12:35,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,1116
הצלחה,05/12/2019 01:23,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,1140
הצלחה,05/12/2019 22:02,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,1159
הצלחה,08/12/2019 02:28,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,1186
הצלחה,10/12/2019 19:52,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,1242
הצלחה,11/12/2019 05:25,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,1247
הצלחה,11/12/2019 16:46,11,מסומן,200 קניית עוקבים באינסטגרם ב-11₪,1257
